TOWN,COUNTY,TOWN_ID,COUNTY_ID,AREA,SHOW_NAME,SHOW_ID
溪口鄉,嘉義縣,10010060,10010,32418755.5152,嘉義縣溪口鄉,S10-10010060
公撊m,苗栗縣,10005090,10005,71686098.7007,苗栗縣公撊m,S05-10005090
田中鎮,彰化縣,10007120,10007,34443206.299,彰化縣田中鎮,S07-10007120
魚池鄉,南投縣,10008090,10008,124371282.905,南投縣魚池鄉,S08-10008090
五結鄉,宜蘭縣,10002090,10002,39972820.5776,宜蘭縣五結鄉,S02-10002090
大湖鄉,苗栗縣,10005080,10005,90953621.3756,苗栗縣大湖鄉,S05-10005080
土庫鎮,雲林縣,10009050,10009,48089269.918,雲林縣土庫鎮,S09-10009050
安平區,臺南市,10021070,10021,11383376.5977,臺南市安平區,S21-10021070
貢寮鄉,臺北縣,10001260,10001,98796774.1043,臺北縣貢寮鄉,S01-10001260
鹿港鎮,彰化縣,10007020,10007,71938896.9487,彰化縣鹿港鎮,S07-10007020
瑞穗鄉,花蓮縣,10015090,10015,151588872.935,花蓮縣瑞穗鄉,S15-10015090
北區,臺南市,10021040,10021,9833126.657,臺南市北區,S21-10021040
西港鄉,臺南縣,10011140,10011,34571464.2343,臺南縣西港鄉,S11-10011140
南區,臺中市,10019030,10019,7931705.8257,臺中市南區,S19-10019030
員山鄉,宜蘭縣,10002070,10002,141617418.267,宜蘭縣員山鄉,S02-10002070
南區,臺南市,10021020,10021,27857671.6833,臺南市南區,S21-10021020
柳營鄉,臺南縣,10011040,10011,61541557.9928,臺南縣柳營鄉,S11-10011040
和美鎮,彰化縣,10007030,10007,38203072.6395,彰化縣和美鎮,S07-10007030
西螺鎮,雲林縣,10009040,10009,50051545.817,雲林縣西螺鎮,S09-10009040
仁愛鄉,南投縣,10008130,10008,1220161974.0902,南投縣仁愛鄉,S08-10008130
佳冬鄉,屏東縣,10013210,10013,31221060.2256,屏東縣佳冬鄉,S13-10013210
茄萣鄉,高雄縣,10012150,10012,17461137.0156,高雄縣茄萣鄉,S12-10012150
東石鄉,嘉義縣,10010090,10010,81982354.2563,嘉義縣東石鄉,S10-10010090
金寧鄉,金門縣,09020040,09020,34988600,金門縣金寧鄉,S24-09020040
南澳鄉,宜蘭縣,10002120,10002,716070056.8306,宜蘭縣南澳鄉,S02-10002120
那瑪夏鄉,高雄縣,10012270,10012,172345931.5586,高雄縣那瑪夏鄉,S12-10012270
清水鎮,臺中縣,10006040,10006,73492156.4133,臺中縣清水鎮,S06-10006040
崙背鄉,雲林縣,10009120,10009,57130143.0282,雲林縣崙背鄉,S09-10009120
吉安鄉,花蓮縣,10015050,10015,62654386.4744,花蓮縣吉安鄉,S15-10015050
里港鄉,屏東縣,10013090,10013,69706442.5711,屏東縣里港鄉,S13-10013090
關山鎮,臺東縣,10014030,10014,60336389.636,臺東縣關山鎮,S14-10014030
麻豆鎮,臺南縣,10011070,10011,54891218.8115,臺南縣麻豆鎮,S11-10011070
三峽鎮,臺北縣,10001090,10001,189447546.596,臺北縣三峽鎮,S01-10001090
汐止市,臺北縣,10001110,10001,71777553.5086,臺北縣汐止市,S01-10001110
義竹鄉,嘉義縣,10010100,10010,78811755.7013,嘉義縣義竹鄉,S10-10010100
冬山鄉,宜蘭縣,10002080,10002,75334997.1718,宜蘭縣冬山鄉,S02-10002080
中山區,基隆市,10017050,10017,9741228.72,基隆市中山區,S17-10017050
泰安鄉,苗栗縣,10005180,10005,602641240.531,苗栗縣泰安鄉,S05-10005180
三民區,高雄市,64000050,64000,16937009.4548,高雄市三民區,S23-64000050
六龜鄉,高雄縣,10012210,10012,186085059.7695,高雄縣六龜鄉,S12-10012210
伸港鄉,彰化縣,10007050,10007,28816431.0003,彰化縣伸港鄉,S07-10007050
二崙鄉,雲林縣,10009110,10009,60779283.3923,雲林縣二崙鄉,S09-10009110
楠西鄉,臺南縣,10011240,10011,109009467.665,臺南縣楠西鄉,S11-10011240
東區,臺南市,10021010,10021,12896371.3251,臺南市東區,S21-10021010
後壁鄉,臺南縣,10011050,10011,72721392.2152,臺南縣後壁鄉,S11-10011050
八里鄉,臺北縣,10001230,10001,36344844.264,臺北縣八里鄉,S01-10001230
石碇鄉,臺北縣,10001190,10001,141847625.2339,臺北縣石碇鄉,S01-10001190
大林鎮,嘉義縣,10010040,10010,64607611.4614,嘉義縣大林鎮,S10-10010040
池上鄉,臺東縣,10014060,10014,79226239.4705,臺東縣池上鄉,S14-10014060
後龍鎮,苗栗縣,10005060,10005,86216005.3991,苗栗縣後龍鎮,S05-10005060
林園鄉,高雄縣,10012020,10012,31256513.1504,高雄縣林園鄉,S12-10012020
民雄鄉,嘉義縣,10010050,10010,84893041.153,嘉義縣民雄鄉,S10-10010050
光復鄉,花蓮縣,10015070,10015,131634539.5,花蓮縣光復鄉,S15-10015070
宜蘭市,宜蘭縣,10002010,10002,30148773.5737,宜蘭縣宜蘭市,S02-10002010
造橋鄉,苗栗縣,10005150,10005,48320679.6438,苗栗縣造橋鄉,S05-10005150
四湖鄉,雲林縣,10009180,10009,74469435.6602,雲林縣四湖鄉,S09-10009180
蘆竹鄉,桃園縣,10003050,10003,74672098.3313,桃園縣蘆竹鄉,S03-10003050
內埔鄉,屏東縣,10013130,10013,77145120.5921,屏東縣內埔鄉,S13-10013130
三星鄉,宜蘭縣,10002100,10002,88131938.5113,宜蘭縣三星鄉,S02-10002100
新興區,高雄市,64000060,64000,2551461.0169,高雄市新興區,S23-64000060
鶯歌鎮,臺北縣,10001080,10001,21894334.2532,臺北縣鶯歌鎮,S01-10001080
岡山鎮,高雄縣,10012080,10012,50219828.9492,高雄縣岡山鎮,S12-10012080
安樂區,基隆市,10017060,10017,17867348.9276,基隆市安樂區,S17-10017060
埔心鄉,彰化縣,10007150,10007,20983178.9622,彰化縣埔心鄉,S07-10007150
口湖鄉,雲林縣,10009190,10009,98454062.3295,雲林縣口湖鄉,S09-10009190
大安鄉,臺中縣,10006140,10006,32960526.6605,臺中縣大安鄉,S06-10006140
大寮鄉,高雄縣,10012030,10012,70104477.0195,高雄縣大寮鄉,S12-10012030
甲仙鄉,高雄縣,10012220,10012,125222677.1797,高雄縣甲仙鄉,S12-10012220
泰武鄉,屏東縣,10013290,10013,124108175.0309,屏東縣泰武鄉,S13-10013290
斗六市,雲林縣,10009010,10009,91786210.4331,雲林縣斗六市,S09-10009010
中和市,臺北縣,10001030,10001,19432249.5058,臺北縣中和市,S01-10001030
卓蘭鎮,苗栗縣,10005070,10005,77408990.8598,苗栗縣卓蘭鎮,S05-10005070
湖內鄉,高雄縣,10012140,10012,21714409.0684,高雄縣湖內鄉,S12-10012140
水上鄉,嘉義縣,10010120,10010,70055548.2671,嘉義縣水上鄉,S10-10010120
卑南鄉,臺東縣,10014040,10014,425473501.9679,臺東縣卑南鄉,S14-10014040
旗山鎮,高雄縣,10012190,10012,96999471.9336,高雄縣旗山鎮,S12-10012190
苑裡鎮,苗栗縣,10005020,10005,69570501.2253,苗栗縣苑裡鎮,S05-10005020
東區,新竹市,10018010,10018,34167383.6921,新竹市東區,S18-10018010
